Population Size,Mutation Rate,Generations,Cmax,percentage
50,0.1,500,170,0.022988505747126436
50,0.1,1000,170,0.022988505747126436
50,0.1,1500,170,0.022988505747126436
50,0.1,2000,170,0.022988505747126436
50,0.2,500,170,0.022988505747126436
50,0.2,1000,170,0.022988505747126436
50,0.2,1500,170,0.022988505747126436
50,0.2,2000,170,0.022988505747126436
50,0.3,500,170,0.022988505747126436
50,0.3,1000,170,0.022988505747126436
50,0.3,1500,170,0.022988505747126436
50,0.3,2000,170,0.022988505747126436
50,0.4,500,170,0.022988505747126436
50,0.4,1000,170,0.022988505747126436
50,0.4,1500,170,0.022988505747126436
50,0.4,2000,170,0.022988505747126436
50,0.5,500,170,0.022988505747126436
50,0.5,1000,170,0.022988505747126436
50,0.5,1500,170,0.022988505747126436
50,0.5,2000,170,0.022988505747126436
100,0.1,500,170,0.022988505747126436
100,0.1,1000,170,0.022988505747126436
100,0.1,1500,170,0.022988505747126436
100,0.1,2000,170,0.022988505747126436
100,0.2,500,170,0.022988505747126436
100,0.2,1000,170,0.022988505747126436
100,0.2,1500,170,0.022988505747126436
100,0.2,2000,170,0.022988505747126436
100,0.3,500,170,0.022988505747126436
100,0.3,1000,170,0.022988505747126436
100,0.3,1500,170,0.022988505747126436
100,0.3,2000,170,0.022988505747126436
100,0.4,500,170,0.022988505747126436
100,0.4,1000,170,0.022988505747126436
100,0.4,1500,170,0.022988505747126436
100,0.4,2000,170,0.022988505747126436
100,0.5,500,170,0.022988505747126436
100,0.5,1000,170,0.022988505747126436
100,0.5,1500,170,0.022988505747126436
100,0.5,2000,170,0.022988505747126436
200,0.1,500,170,0.022988505747126436
200,0.1,1000,170,0.022988505747126436
200,0.1,1500,170,0.022988505747126436
200,0.1,2000,170,0.022988505747126436
200,0.2,500,170,0.022988505747126436
200,0.2,1000,170,0.022988505747126436
200,0.2,1500,170,0.022988505747126436
200,0.2,2000,170,0.022988505747126436
200,0.3,500,170,0.022988505747126436
200,0.3,1000,170,0.022988505747126436
200,0.3,1500,170,0.022988505747126436
200,0.3,2000,170,0.022988505747126436
200,0.4,500,170,0.022988505747126436
200,0.4,1000,170,0.022988505747126436
200,0.4,1500,170,0.022988505747126436
200,0.4,2000,170,0.022988505747126436
200,0.5,500,170,0.022988505747126436
200,0.5,1000,170,0.022988505747126436
200,0.5,1500,170,0.022988505747126436
200,0.5,2000,170,0.022988505747126436
300,0.1,500,170,0.022988505747126436
300,0.1,1000,170,0.022988505747126436
300,0.1,1500,170,0.022988505747126436
300,0.1,2000,170,0.022988505747126436
300,0.2,500,170,0.022988505747126436
300,0.2,1000,170,0.022988505747126436
300,0.2,1500,170,0.022988505747126436
300,0.2,2000,170,0.022988505747126436
300,0.3,500,170,0.022988505747126436
300,0.3,1000,170,0.022988505747126436
300,0.3,1500,170,0.022988505747126436
300,0.3,2000,170,0.022988505747126436
300,0.4,500,170,0.022988505747126436
300,0.4,1000,170,0.022988505747126436
300,0.4,1500,170,0.022988505747126436
300,0.4,2000,170,0.022988505747126436
300,0.5,500,170,0.022988505747126436
300,0.5,1000,170,0.022988505747126436
300,0.5,1500,170,0.022988505747126436
300,0.5,2000,170,0.022988505747126436
50,0.1,500,151,-0.06338028169014084
50,0.1,1000,143,-0.007042253521126761
50,0.1,1500,142,0.0
50,0.1,2000,148,-0.04225352112676056
50,0.2,500,141,0.007042253521126761
50,0.2,1000,146,-0.028169014084507043
50,0.2,1500,142,0.0
50,0.2,2000,142,0.0
50,0.3,500,142,0.0
50,0.3,1000,142,0.0
50,0.3,1500,142,0.0
50,0.3,2000,142,0.0
50,0.4,500,142,0.0
50,0.4,1000,141,0.007042253521126761
50,0.4,1500,140,0.014084507042253521
50,0.4,2000,141,0.007042253521126761
50,0.5,500,142,0.0
50,0.5,1000,140,0.014084507042253521
50,0.5,1500,141,0.007042253521126761
50,0.5,2000,142,0.0
100,0.1,500,146,-0.028169014084507043
100,0.1,1000,142,0.0
100,0.1,1500,142,0.0
100,0.1,2000,142,0.0
100,0.2,500,142,0.0
100,0.2,1000,142,0.0
100,0.2,1500,142,0.0
100,0.2,2000,142,0.0
100,0.3,500,142,0.0
100,0.3,1000,142,0.0
100,0.3,1500,142,0.0
100,0.3,2000,142,0.0
100,0.4,500,141,0.007042253521126761
100,0.4,1000,142,0.0
100,0.4,1500,142,0.0
100,0.4,2000,142,0.0
100,0.5,500,142,0.0
100,0.5,1000,142,0.0
100,0.5,1500,141,0.007042253521126761
100,0.5,2000,139,0.02112676056338028
200,0.1,500,145,-0.02112676056338028
200,0.1,1000,142,0.0
200,0.1,1500,145,-0.02112676056338028
200,0.1,2000,142,0.0
200,0.2,500,142,0.0
200,0.2,1000,141,0.007042253521126761
200,0.2,1500,142,0.0
200,0.2,2000,142,0.0
200,0.3,500,142,0.0
200,0.3,1000,142,0.0
200,0.3,1500,142,0.0
200,0.3,2000,141,0.007042253521126761
200,0.4,500,139,0.02112676056338028
200,0.4,1000,140,0.014084507042253521
200,0.4,1500,141,0.007042253521126761
200,0.4,2000,139,0.02112676056338028
200,0.5,500,139,0.02112676056338028
200,0.5,1000,141,0.007042253521126761
200,0.5,1500,139,0.02112676056338028
200,0.5,2000,141,0.007042253521126761
300,0.1,500,148,-0.04225352112676056
300,0.1,1000,142,0.0
300,0.1,1500,142,0.0
300,0.1,2000,142,0.0
300,0.2,500,143,-0.007042253521126761
300,0.2,1000,141,0.007042253521126761
300,0.2,1500,142,0.0
300,0.2,2000,142,0.0
300,0.3,500,141,0.007042253521126761
300,0.3,1000,142,0.0
300,0.3,1500,141,0.007042253521126761
300,0.3,2000,140,0.014084507042253521
300,0.4,500,140,0.014084507042253521
300,0.4,1000,142,0.0
300,0.4,1500,141,0.007042253521126761
300,0.4,2000,140,0.014084507042253521
300,0.5,500,139,0.02112676056338028
300,0.5,1000,141,0.007042253521126761
300,0.5,1500,140,0.014084507042253521
300,0.5,2000,138,0.028169014084507043
50,0.1,500,158,0.0
50,0.1,1000,155,0.0189873417721519
50,0.1,1500,155,0.0189873417721519
50,0.1,2000,155,0.0189873417721519
50,0.2,500,158,0.0
50,0.2,1000,155,0.0189873417721519
50,0.2,1500,155,0.0189873417721519
50,0.2,2000,155,0.0189873417721519
50,0.3,500,158,0.0
50,0.3,1000,155,0.0189873417721519
50,0.3,1500,155,0.0189873417721519
50,0.3,2000,155,0.0189873417721519
50,0.4,500,154,0.02531645569620253
50,0.4,1000,155,0.0189873417721519
50,0.4,1500,155,0.0189873417721519
50,0.4,2000,155,0.0189873417721519
50,0.5,500,154,0.02531645569620253
50,0.5,1000,155,0.0189873417721519
50,0.5,1500,155,0.0189873417721519
50,0.5,2000,154,0.02531645569620253
100,0.1,500,158,0.0
100,0.1,1000,158,0.0
100,0.1,1500,155,0.0189873417721519
100,0.1,2000,158,0.0
100,0.2,500,155,0.0189873417721519
100,0.2,1000,155,0.0189873417721519
100,0.2,1500,155,0.0189873417721519
100,0.2,2000,155,0.0189873417721519
100,0.3,500,155,0.0189873417721519
100,0.3,1000,155,0.0189873417721519
100,0.3,1500,154,0.02531645569620253
100,0.3,2000,155,0.0189873417721519
100,0.4,500,154,0.02531645569620253
100,0.4,1000,155,0.0189873417721519
100,0.4,1500,155,0.0189873417721519
100,0.4,2000,154,0.02531645569620253
100,0.5,500,155,0.0189873417721519
100,0.5,1000,155,0.0189873417721519
100,0.5,1500,154,0.02531645569620253
100,0.5,2000,154,0.02531645569620253
200,0.1,500,158,0.0
200,0.1,1000,155,0.0189873417721519
200,0.1,1500,155,0.0189873417721519
200,0.1,2000,155,0.0189873417721519
200,0.2,500,155,0.0189873417721519
200,0.2,1000,155,0.0189873417721519
200,0.2,1500,155,0.0189873417721519
200,0.2,2000,155,0.0189873417721519
200,0.3,500,155,0.0189873417721519
200,0.3,1000,155,0.0189873417721519
200,0.3,1500,154,0.02531645569620253
200,0.3,2000,154,0.02531645569620253
200,0.4,500,154,0.02531645569620253
200,0.4,1000,155,0.0189873417721519
200,0.4,1500,154,0.02531645569620253
200,0.4,2000,154,0.02531645569620253
200,0.5,500,155,0.0189873417721519
200,0.5,1000,154,0.02531645569620253
200,0.5,1500,154,0.02531645569620253
200,0.5,2000,155,0.0189873417721519
300,0.1,500,155,0.0189873417721519
300,0.1,1000,155,0.0189873417721519
300,0.1,1500,155,0.0189873417721519
300,0.1,2000,155,0.0189873417721519
300,0.2,500,155,0.0189873417721519
300,0.2,1000,154,0.02531645569620253
300,0.2,1500,155,0.0189873417721519
300,0.2,2000,155,0.0189873417721519
300,0.3,500,154,0.02531645569620253
300,0.3,1000,155,0.0189873417721519
300,0.3,1500,154,0.02531645569620253
300,0.3,2000,155,0.0189873417721519
300,0.4,500,154,0.02531645569620253
300,0.4,1000,154,0.02531645569620253
300,0.4,1500,154,0.02531645569620253
300,0.4,2000,154,0.02531645569620253
300,0.5,500,154,0.02531645569620253
300,0.5,1000,154,0.02531645569620253
300,0.5,1500,154,0.02531645569620253
300,0.5,2000,154,0.02531645569620253
50,0.1,500,181,-0.05847953216374269
50,0.1,1000,176,-0.029239766081871343
50,0.1,1500,176,-0.029239766081871343
50,0.1,2000,181,-0.05847953216374269
50,0.2,500,176,-0.029239766081871343
50,0.2,1000,176,-0.029239766081871343
50,0.2,1500,181,-0.05847953216374269
50,0.2,2000,176,-0.029239766081871343
50,0.3,500,176,-0.029239766081871343
50,0.3,1000,175,-0.023391812865497075
50,0.3,1500,175,-0.023391812865497075
50,0.3,2000,176,-0.029239766081871343
50,0.4,500,176,-0.029239766081871343
50,0.4,1000,175,-0.023391812865497075
50,0.4,1500,170,0.005847953216374269
50,0.4,2000,176,-0.029239766081871343
50,0.5,500,175,-0.023391812865497075
50,0.5,1000,174,-0.017543859649122806
50,0.5,1500,175,-0.023391812865497075
50,0.5,2000,176,-0.029239766081871343
100,0.1,500,177,-0.03508771929824561
100,0.1,1000,176,-0.029239766081871343
100,0.1,1500,176,-0.029239766081871343
100,0.1,2000,176,-0.029239766081871343
